timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z20_y0_x85,z20_y0_x90,z20_y0_x95,z20_y0_x100,z25_y0_x0,z25_y0_x5,z25_y0_x10,z25_y0_x15,z25_y0_x20,z25_y0_x25,z25_y0_x30,z25_y0_x35,z25_y0_x40,z25_y0_x45,z25_y0_x50,z25_y0_x55,z25_y0_x60,z25_y0_x65,z25_y0_x70,z25_y0_x75,z25_y0_x80,z25_y0_x85,z25_y0_x90,z25_y0_x95,z25_y0_x100,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z30_y0_x85,z30_y0_x90,z30_y0_x95,z30_y0_x100,z35_y0_x0,z35_y0_x5,z35_y0_x10,z35_y0_x15,z35_y0_x20,z35_y0_x25,z35_y0_x30,z35_y0_x35,z35_y0_x40,z35_y0_x45,z35_y0_x50,z35_y0_x55,z35_y0_x60,z35_y0_x65,z35_y0_x70,z35_y0_x75,z35_y0_x80,z35_y0_x85,z35_y0_x90,z35_y0_x95,z35_y0_x100,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z40_y0_x85,z40_y0_x90,z40_y0_x95,z40_y0_x100,z45_y0_x0,z45_y0_x5,z45_y0_x10,z45_y0_x15,z45_y0_x20,z45_y0_x25,z45_y0_x30,z45_y0_x35,z45_y0_x40,z45_y0_x45,z45_y0_x50,z45_y0_x55,z45_y0_x60,z45_y0_x65,z45_y0_x70,z45_y0_x75,z45_y0_x80,z45_y0_x85,z45_y0_x90,z45_y0_x95,z45_y0_x100,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z50_y0_x85,z50_y0_x90,z50_y0_x95,z50_y0_x100,z55_y0_x0,z55_y0_x5,z55_y0_x10,z55_y0_x15,z55_y0_x20,z55_y0_x25,z55_y0_x30,z55_y0_x35,z55_y0_x40,z55_y0_x45,z55_y0_x50,z55_y0_x55,z55_y0_x60,z55_y0_x65,z55_y0_x70,z55_y0_x75,z55_y0_x80,z55_y0_x85,z55_y0_x90,z55_y0_x95,z55_y0_x100,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80,z60_y0_x85,z60_y0_x90,z60_y0_x95,z60_y0_x100
1657058400,-8.408,-8.408,-10.299,-10.299,-17.254,-17.254,-17.254,-24.518,-24.518,-27.692,-27.692,-27.692,-81.536,-81.536,-570.269,-570.269,-570.269,-600.092,-600.092,-590.545,-590.545,-9.417,-9.417,-11.669,-11.669,-19.725,-19.725,-19.725,-27.826,-27.826,-33.622,-33.622,-33.622,-94.982,-94.982,-550.797,-550.797,-550.797,-555.929,-555.929,-545.650,-545.650,-10.882,-10.882,-13.707,-13.707,-22.311,-22.311,-22.311,-31.451,-31.451,-43.004,-43.004,-43.004,-114.814,-114.814,-525.383,-525.383,-525.383,-511.806,-511.806,-501.521,-501.521,-16.940,-16.940,-20.763,-20.763,-25.280,-25.280,-25.280,-40.590,-40.590,-87.584,-87.584,-87.584,-192.222,-192.222,-461.664,-461.664,-461.664,-427.810,-427.810,-418.647,-418.647,-22.408,-22.408,-24.525,-24.525,-26.281,-26.281,-26.281,-47.396,-47.396,-136.985,-136.985,-136.985,-249.198,-249.198,-423.631,-423.631,-423.631,-379.014,-379.014,-370.257,-370.257,-31.660,-31.660,-31.550,-31.550,-32.271,-32.271,-32.271,-59.367,-59.367,-160.858,-160.858,-160.858,-247.058,-247.058,-375.695,-375.695,-375.695,-333.909,-333.909,-325.935,-325.935,-44.913,-44.913,-42.914,-42.914,-43.233,-43.233,-43.233,-77.715,-77.715,-167.009,-167.009,-167.009,-232.228,-232.228,-331.235,-331.235,-331.235,-294.878,-294.878,-287.692,-287.692,-121.598,-121.598,-115.642,-115.642,-113.349,-113.349,-113.349,-143.937,-143.937,-163.758,-163.758,-163.758,-202.885,-202.885,-259.947,-259.947,-259.947,-235.441,-235.441,-229.206,-229.206,-268.904,-268.904,-249.439,-249.439,-231.709,-231.709,-231.709,-193.225,-193.225,-159.448,-159.448,-159.448,-190.572,-190.572,-234.532,-234.532,-234.532,-227.469,-227.469,-220.761,-220.761
1657062000,-9.002,-9.002,-10.712,-10.712,-16.977,-16.977,-16.977,-24.239,-24.239,-28.158,-28.158,-28.158,-80.592,-80.592,-565.193,-565.193,-565.193,-600.121,-600.121,-590.552,-590.552,-10.025,-10.025,-12.062,-12.062,-19.349,-19.349,-19.349,-27.499,-27.499,-33.709,-33.709,-33.709,-94.084,-94.084,-547.611,-547.611,-547.611,-555.962,-555.962,-545.656,-545.656,-11.471,-11.471,-13.976,-13.976,-21.845,-21.845,-21.845,-31.166,-31.166,-42.779,-42.779,-42.779,-114.012,-114.012,-523.577,-523.577,-523.577,-511.841,-511.841,-501.526,-501.526,-17.014,-17.014,-20.359,-20.359,-25.344,-25.344,-25.344,-40.378,-40.378,-86.196,-86.196,-86.196,-191.546,-191.546,-461.278,-461.278,-461.278,-427.786,-427.786,-418.587,-418.587,-22.133,-22.133,-24.454,-24.454,-26.987,-26.987,-26.987,-47.217,-47.217,-134.481,-134.481,-134.481,-248.366,-248.366,-423.421,-423.421,-423.421,-379.008,-379.008,-370.216,-370.216,-30.704,-30.704,-31.193,-31.193,-32.478,-32.478,-32.478,-58.899,-58.899,-159.682,-159.682,-159.682,-246.894,-246.894,-375.547,-375.547,-375.547,-333.906,-333.906,-325.899,-325.899,-43.915,-43.915,-42.380,-42.380,-43.034,-43.034,-43.034,-77.085,-77.085,-166.517,-166.517,-166.517,-232.185,-232.185,-331.107,-331.107,-331.107,-294.874,-294.874,-287.657,-287.657,-119.837,-119.837,-113.818,-113.818,-111.677,-111.677,-111.677,-143.355,-143.355,-163.757,-163.757,-163.757,-202.884,-202.884,-259.870,-259.870,-259.870,-235.589,-235.589,-229.332,-229.332,-265.237,-265.237,-245.917,-245.917,-228.564,-228.564,-228.564,-192.435,-192.435,-159.566,-159.566,-159.566,-190.653,-190.653,-234.607,-234.607,-234.607,-227.488,-227.488,-220.826,-220.826
1657065600,-9.573,-9.573,-11.139,-11.139,-16.842,-16.842,-16.842,-23.999,-23.999,-28.542,-28.542,-28.542,-79.688,-79.688,-559.998,-559.998,-559.998,-600.084,-600.084,-590.500,-590.500,-10.576,-10.576,-12.431,-12.431,-19.065,-19.065,-19.065,-27.189,-27.189,-33.822,-33.822,-33.822,-93.181,-93.181,-544.320,-544.320,-544.320,-555.932,-555.932,-545.606,-545.606,-11.987,-11.987,-14.232,-14.232,-21.470,-21.470,-21.470,-30.870,-30.870,-42.579,-42.579,-42.579,-113.179,-113.179,-521.689,-521.689,-521.689,-511.819,-511.819,-501.481,-501.481,-17.161,-17.161,-20.124,-20.124,-25.389,-25.389,-25.389,-40.161,-40.161,-84.829,-84.829,-84.829,-190.811,-190.811,-460.838,-460.838,-460.838,-427.718,-427.718,-418.491,-418.491,-21.951,-21.951,-24.322,-24.322,-27.499,-27.499,-27.499,-47.035,-47.035,-132.007,-132.007,-132.007,-247.490,-247.490,-423.166,-423.166,-423.166,-378.965,-378.965,-370.146,-370.146,-29.935,-29.935,-30.870,-30.870,-32.714,-32.714,-32.714,-58.457,-58.457,-158.447,-158.447,-158.447,-246.688,-246.688,-375.362,-375.362,-375.362,-333.875,-333.875,-325.841,-325.841,-42.901,-42.901,-41.845,-41.845,-42.883,-42.883,-42.883,-76.451,-76.451,-165.986,-165.986,-165.986,-232.113,-232.113,-330.949,-330.949,-330.949,-294.848,-294.848,-287.605,-287.605,-118.015,-118.015,-111.974,-111.974,-110.015,-110.015,-110.015,-142.738,-142.738,-163.735,-163.735,-163.735,-202.866,-202.866,-259.778,-259.778,-259.778,-235.723,-235.723,-229.450,-229.450,-261.521,-261.521,-242.346,-242.346,-225.388,-225.388,-225.388,-191.631,-191.631,-159.666,-159.666,-159.666,-190.719,-190.719,-234.667,-234.667,-234.667,-227.501,-227.501,-220.889,-220.889
1657069200,-10.102,-10.102,-11.552,-11.552,-16.800,-16.800,-16.800,-23.801,-23.801,-28.874,-28.874,-28.874,-78.843,-78.843,-554.766,-554.766,-554.766,-600.045,-600.045,-590.447,-590.447,-11.076,-11.076,-12.782,-12.782,-18.871,-18.871,-18.871,-26.907,-26.907,-33.950,-33.950,-33.950,-92.312,-92.312,-540.992,-540.992,-540.992,-555.902,-555.902,-545.557,-545.557,-12.447,-12.447,-14.485,-14.485,-21.182,-21.182,-21.182,-30.577,-30.577,-42.412,-42.412,-42.412,-112.346,-112.346,-519.780,-519.780,-519.780,-511.797,-511.797,-501.437,-501.437,-17.347,-17.347,-20.007,-20.007,-25.419,-25.419,-25.419,-39.945,-39.945,-83.507,-83.507,-83.507,-190.053,-190.053,-460.393,-460.393,-460.393,-427.650,-427.650,-418.396,-418.396,-21.856,-21.856,-24.189,-24.189,-27.879,-27.879,-27.879,-46.854,-46.854,-129.593,-129.593,-129.593,-246.604,-246.604,-422.909,-422.909,-422.909,-378.923,-378.923,-370.076,-370.076,-29.338,-29.338,-30.580,-30.580,-32.952,-32.952,-32.952,-58.050,-58.050,-157.184,-157.184,-157.184,-246.474,-246.474,-375.176,-375.176,-375.176,-333.844,-333.844,-325.782,-325.782,-41.931,-41.931,-41.330,-41.330,-42.782,-42.782,-42.782,-75.833,-75.833,-165.441,-165.441,-165.441,-232.039,-232.039,-330.792,-330.792,-330.792,-294.822,-294.822,-287.553,-287.553,-116.145,-116.145,-110.131,-110.131,-108.387,-108.387,-108.387,-142.105,-142.105,-163.712,-163.712,-163.712,-202.848,-202.848,-259.687,-259.687,-259.687,-235.855,-235.855,-229.567,-229.567,-257.778,-257.778,-238.749,-238.749,-222.203,-222.203,-222.203,-190.830,-190.830,-159.764,-159.764,-159.764,-190.783,-190.783,-234.726,-234.726,-234.726,-227.516,-227.516,-220.953,-220.953
1657072800,-10.589,-10.589,-11.944,-11.944,-16.817,-16.817,-16.817,-23.643,-23.643,-29.168,-29.168,-29.168,-78.049,-78.049,-549.504,-549.504,-549.504,-600.004,-600.004,-590.395,-590.395,-11.534,-11.534,-13.116,-13.116,-18.749,-18.749,-18.749,-26.657,-26.657,-34.082,-34.082,-34.082,-91.477,-91.477,-537.631,-537.631,-537.631,-555.871,-555.871,-545.508,-545.508,-12.866,-12.866,-14.735,-14.735,-20.968,-20.968,-20.968,-30.296,-30.296,-42.273,-42.273,-42.273,-111.517,-111.517,-517.850,-517.850,-517.850,-511.774,-511.774,-501.392,-501.392,-17.548,-17.548,-19.967,-19.967,-25.437,-25.437,-25.437,-39.728,-39.728,-82.232,-82.232,-82.232,-189.272,-189.272,-459.945,-459.945,-459.945,-427.582,-427.582,-418.300,-418.300,-21.821,-21.821,-24.077,-24.077,-28.165,-28.165,-28.165,-46.670,-46.670,-127.237,-127.237,-127.237,-245.710,-245.710,-422.651,-422.651,-422.651,-378.880,-378.880,-370.006,-370.006,-28.876,-28.876,-30.322,-30.322,-33.175,-33.175,-33.175,-57.671,-57.671,-155.893,-155.893,-155.893,-246.252,-246.252,-374.991,-374.991,-374.991,-333.813,-333.813,-325.724,-325.724,-41.032,-41.032,-40.839,-40.839,-42.719,-42.719,-42.719,-75.232,-75.232,-164.882,-164.882,-164.882,-231.963,-231.963,-330.635,-330.635,-330.635,-294.796,-294.796,-287.502,-287.502,-114.228,-114.228,-108.294,-108.294,-106.800,-106.800,-106.800,-141.456,-141.456,-163.686,-163.686,-163.686,-202.831,-202.831,-259.598,-259.598,-259.598,-235.984,-235.984,-229.682,-229.682,-254.003,-254.003,-235.127,-235.127,-219.013,-219.013,-219.013,-190.033,-190.033,-159.858,-159.858,-159.858,-190.846,-190.846,-234.782,-234.782,-234.782,-227.532,-227.532,-221.016,-221.016
1657076400,-11.040,-11.040,-12.314,-12.314,-16.875,-16.875,-16.875,-23.526,-23.526,-29.444,-29.444,-29.444,-77.349,-77.349,-544.347,-544.347,-544.347,-600.075,-600.075,-590.445,-590.445,-11.958,-11.958,-13.436,-13.436,-18.688,-18.688,-18.688,-26.449,-26.449,-34.228,-34.228,-34.228,-90.732,-90.732,-534.361,-534.361,-534.361,-555.948,-555.948,-545.556,-545.556,-13.253,-13.253,-14.983,-14.983,-20.820,-20.820,-20.820,-30.043,-30.043,-42.175,-42.175,-42.175,-110.745,-110.745,-516.012,-516.012,-516.012,-511.850,-511.850,-501.436,-501.436,-17.759,-17.759,-19.983,-19.983,-25.459,-25.459,-25.459,-39.526,-39.526,-81.040,-81.040,-81.040,-188.530,-188.530,-459.583,-459.583,-459.583,-427.591,-427.591,-418.269,-418.269,-21.837,-21.837,-24.001,-24.001,-28.397,-28.397,-28.397,-46.501,-46.501,-124.988,-124.988,-124.988,-244.872,-244.872,-422.468,-422.468,-422.468,-378.901,-378.901,-369.988,-369.988,-28.538,-28.538,-30.111,-30.111,-33.391,-33.391,-33.391,-57.337,-57.337,-154.626,-154.626,-154.626,-246.081,-246.081,-374.869,-374.869,-374.869,-333.833,-333.833,-325.706,-325.706,-40.243,-40.243,-40.400,-40.400,-42.701,-42.701,-42.701,-74.675,-74.675,-164.353,-164.353,-164.353,-231.933,-231.933,-330.529,-330.529,-330.529,-294.809,-294.809,-287.480,-287.480,-112.305,-112.305,-106.528,-106.528,-105.305,-105.305,-105.305,-140.824,-140.824,-163.692,-163.692,-163.692,-202.848,-202.848,-259.540,-259.540,-259.540,-236.132,-236.132,-229.807,-229.807,-250.245,-250.245,-231.529,-231.529,-215.864,-215.864,-215.864,-189.271,-189.271,-159.975,-159.975,-159.975,-190.932,-190.932,-234.858,-234.858,-234.858,-227.562,-227.562,-221.081,-221.081
1657080000,-11.459,-11.459,-12.665,-12.665,-16.962,-16.962,-16.962,-23.446,-23.446,-29.709,-29.709,-29.709,-76.733,-76.733,-539.292,-539.292,-539.292,-600.246,-600.246,-590.589,-590.589,-12.354,-12.354,-13.743,-13.743,-18.672,-18.672,-18.672,-26.280,-26.280,-34.384,-34.384,-34.384,-90.068,-90.068,-531.178,-531.178,-531.178,-556.123,-556.123,-545.694,-545.694,-13.615,-13.615,-15.230,-15.230,-20.727,-20.727,-20.727,-29.821,-29.821,-42.110,-42.110,-42.110,-110.025,-110.025,-514.257,-514.257,-514.257,-512.018,-512.018,-501.559,-501.559,-17.975,-17.975,-20.040,-20.040,-25.488,-25.488,-25.488,-39.338,-39.338,-79.925,-79.925,-79.925,-187.823,-187.823,-459.298,-459.298,-459.298,-427.670,-427.670,-418.296,-418.296,-21.890,-21.890,-23.962,-23.962,-28.593,-28.593,-28.593,-46.343,-46.343,-122.839,-122.839,-122.839,-244.084,-244.084,-422.353,-422.353,-422.353,-378.979,-378.979,-370.015,-370.015,-28.297,-28.297,-29.945,-29.945,-33.598,-33.598,-33.598,-57.041,-57.041,-153.381,-153.381,-153.381,-245.954,-245.954,-374.805,-374.805,-374.805,-333.898,-333.898,-325.722,-325.722,-39.563,-39.563,-40.012,-40.012,-42.718,-42.718,-42.718,-74.160,-74.160,-163.850,-163.850,-163.850,-231.947,-231.947,-330.470,-330.470,-330.470,-294.858,-294.858,-287.484,-287.484,-110.380,-110.380,-104.831,-104.831,-103.899,-103.899,-103.899,-140.207,-140.207,-163.724,-163.724,-163.724,-202.894,-202.894,-259.510,-259.510,-259.510,-236.297,-236.297,-229.941,-229.941,-246.495,-246.495,-227.955,-227.955,-212.758,-212.758,-212.758,-188.541,-188.541,-160.114,-160.114,-160.114,-191.039,-191.039,-234.951,-234.951,-234.951,-227.604,-227.604,-221.148,-221.148
1657083600,-11.858,-11.858,-13.007,-13.007,-17.090,-17.090,-17.090,-23.444,-23.444,-30.034,-30.034,-30.034,-76.473,-76.473,-535.101,-535.101,-535.101,-601.199,-601.199,-591.449,-591.449,-12.734,-12.734,-14.052,-14.052,-18.722,-18.722,-18.722,-26.213,-26.213,-34.631,-34.631,-34.631,-89.827,-89.827,-528.821,-528.821,-528.821,-557.058,-557.058,-546.513,-546.513,-13.970,-13.970,-15.492,-15.492,-20.716,-20.716,-20.716,-29.706,-29.706,-42.182,-42.182,-42.182,-109.663,-109.663,-513.268,-513.268,-513.268,-512.885,-512.885,-502.297,-502.297,-18.218,-18.218,-20.160,-20.160,-25.605,-25.605,-25.605,-39.262,-39.262,-79.096,-79.096,-79.096,-187.528,-187.528,-459.636,-459.636,-459.636,-428.281,-428.281,-418.768,-418.768,-22.016,-22.016,-24.008,-24.008,-28.854,-28.854,-28.854,-46.305,-46.305,-121.074,-121.074,-121.074,-243.747,-243.747,-422.776,-422.776,-422.776,-379.496,-379.496,-370.399,-370.399,-28.238,-28.238,-29.927,-29.927,-33.896,-33.896,-33.896,-56.905,-56.905,-152.453,-152.453,-152.453,-246.228,-246.228,-375.186,-375.186,-375.186,-334.315,-334.315,-326.014,-326.014,-39.142,-39.142,-39.822,-39.822,-42.883,-42.883,-42.883,-73.841,-73.841,-163.644,-163.644,-163.644,-232.302,-232.302,-330.767,-330.767,-330.767,-295.180,-295.180,-287.691,-287.691,-108.698,-108.698,-103.574,-103.574,-102.857,-102.857,-102.857,-139.806,-139.806,-163.982,-163.982,-163.982,-203.165,-203.165,-259.691,-259.691,-259.691,-236.602,-236.602,-230.153,-230.153,-243.068,-243.068,-224.707,-224.707,-209.954,-209.954,-209.954,-188.042,-188.042,-160.434,-160.434,-160.434,-191.318,-191.318,-235.191,-235.191,-235.191,-227.738,-227.738,-221.229,-221.229
1657087200,-12.255,-12.255,-13.360,-13.360,-17.285,-17.285,-17.285,-23.579,-23.579,-30.521,-30.521,-30.521,-76.945,-76.945,-532.843,-532.843,-532.843,-603.876,-603.876,-593.885,-593.885,-13.121,-13.121,-14.384,-14.384,-18.867,-18.867,-18.867,-26.330,-26.330,-35.090,-35.090,-35.090,-90.476,-90.476,-528.330,-528.330,-528.330,-559.666,-559.666,-548.832,-548.832,-14.342,-14.342,-15.794,-15.794,-20.829,-20.829,-20.829,-29.802,-29.802,-42.534,-42.534,-42.534,-110.080,-110.080,-513.993,-513.993,-513.993,-515.291,-515.291,-504.385,-504.385,-18.530,-18.530,-20.383,-20.383,-25.919,-25.919,-25.919,-39.431,-39.431,-78.830,-78.830,-78.830,-188.170,-188.170,-461.350,-461.350,-461.350,-430.065,-430.065,-420.219,-420.219,-22.271,-22.271,-24.209,-24.209,-29.316,-29.316,-29.316,-46.537,-46.537,-120.075,-120.075,-120.075,-244.415,-244.415,-424.380,-424.380,-424.380,-380.982,-380.982,-371.566,-371.566,-28.481,-28.481,-30.197,-30.197,-34.429,-34.429,-34.429,-57.098,-57.098,-152.252,-152.252,-152.252,-247.395,-247.395,-376.544,-376.544,-376.544,-335.504,-335.504,-326.907,-326.907,-39.181,-39.181,-40.029,-40.029,-43.360,-43.360,-43.360,-73.929,-73.929,-164.109,-164.109,-164.109,-233.410,-233.410,-331.850,-331.850,-331.850,-296.100,-296.100,-288.340,-288.340,-107.601,-107.601,-103.257,-103.257,-102.541,-102.541,-102.541,-139.897,-139.897,-164.737,-164.737,-164.737,-203.930,-203.930,-260.329,-260.329,-260.329,-237.218,-237.218,-230.538,-230.538,-240.404,-240.404,-222.214,-222.214,-207.813,-207.813,-207.813,-188.051,-188.051,-161.156,-161.156,-161.156,-191.977,-191.977,-235.754,-235.754,-235.754,-228.071,-228.071,-221.339,-221.339
1657090800,-12.650,-12.650,-13.721,-13.721,-17.530,-17.530,-17.530,-23.814,-23.814,-31.122,-31.122,-31.122,-77.953,-77.953,-532.039,-532.039,-532.039,-607.776,-607.776,-597.440,-597.440,-13.514,-13.514,-14.734,-14.734,-19.085,-19.085,-19.085,-26.578,-26.578,-35.703,-35.703,-35.703,-91.777,-91.777,-529.218,-529.218,-529.218,-563.463,-563.463,-552.215,-552.215,-14.730,-14.730,-16.129,-16.129,-21.037,-21.037,-21.037,-30.051,-30.051,-43.093,-43.093,-43.093,-111.071,-111.071,-515.955,-515.955,-515.955,-518.793,-518.793,-507.433,-507.433,-18.897,-18.897,-20.688,-20.688,-26.364,-26.364,-26.364,-39.780,-39.780,-78.975,-78.975,-78.975,-189.486,-189.486,-464.045,-464.045,-464.045,-432.684,-432.684,-422.367,-422.367,-22.630,-22.630,-24.533,-24.533,-29.919,-29.919,-29.919,-46.967,-46.967,-119.638,-119.638,-119.638,-245.806,-245.806,-426.827,-426.827,-426.827,-383.156,-383.156,-373.290,-373.290,-28.929,-28.929,-30.665,-30.665,-35.131,-35.131,-35.131,-57.533,-57.533,-152.571,-152.571,-152.571,-249.199,-249.199,-378.600,-378.600,-378.600,-337.245,-337.245,-328.229,-328.229,-39.553,-39.553,-40.524,-40.524,-44.061,-44.061,-44.061,-74.314,-74.314,-165.055,-165.055,-165.055,-235.057,-235.057,-333.491,-333.491,-333.491,-297.445,-297.445,-289.303,-289.303,-108.068,-108.068,-103.619,-103.619,-102.743,-102.743,-102.743,-140.346,-140.346,-165.848,-165.848,-165.848,-205.047,-205.047,-261.294,-261.294,-261.294,-238.055,-238.055,-231.045,-231.045,-238.414,-238.414,-220.319,-220.319,-206.184,-206.184,-206.184,-188.424,-188.424,-162.166,-162.166,-162.166,-192.907,-192.907,-236.547,-236.547,-236.547,-228.544,-228.544,-221.473,-221.473
1657094400,-13.089,-13.089,-14.141,-14.141,-17.910,-17.910,-17.910,-24.326,-24.326,-32.111,-32.111,-32.111,-80.591,-80.591,-535.449,-535.449,-535.449,-615.388,-615.388,-604.386,-604.386,-13.967,-13.967,-15.166,-15.166,-19.485,-19.485,-19.485,-27.197,-27.197,-36.801,-36.801,-36.801,-95.098,-95.098,-534.193,-534.193,-534.193,-570.870,-570.870,-558.830,-558.830,-15.201,-15.201,-16.576,-16.576,-21.479,-21.479,-21.479,-30.735,-30.735,-44.264,-44.264,-44.264,-113.779,-113.779,-521.659,-521.659,-521.659,-525.620,-525.620,-513.393,-513.393,-19.435,-19.435,-21.209,-21.209,-27.245,-27.245,-27.245,-40.670,-40.670,-80.292,-80.292,-80.292,-192.886,-192.886,-469.721,-469.721,-469.721,-437.835,-437.835,-426.624,-426.624,-23.268,-23.268,-25.182,-25.182,-31.016,-31.016,-31.016,-48.001,-48.001,-120.784,-120.784,-120.784,-249.404,-249.404,-431.833,-431.833,-431.833,-387.421,-387.421,-376.702,-376.702,-29.987,-29.987,-31.749,-31.749,-36.394,-36.394,-36.394,-58.674,-58.674,-154.501,-154.501,-154.501,-252.960,-252.960,-382.771,-382.771,-382.771,-340.655,-340.655,-330.847,-330.847,-40.842,-40.842,-41.875,-41.875,-45.442,-45.442,-45.442,-75.563,-75.563,-167.485,-167.485,-167.485,-238.346,-238.346,-336.826,-336.826,-336.826,-300.082,-300.082,-291.218,-291.218,-108.664,-108.664,-106.041,-106.041,-104.428,-104.428,-104.428,-141.888,-141.888,-168.046,-168.046,-168.046,-207.234,-207.234,-263.245,-263.245,-263.245,-239.563,-239.563,-231.924,-231.924,-238.121,-238.121,-220.103,-220.103,-205.979,-205.979,-205.979,-189.893,-189.893,-164.054,-164.054,-164.054,-194.659,-194.659,-238.037,-238.037,-238.037,-229.442,-229.442,-221.671,-221.671
1657098000,-13.522,-13.522,-14.564,-14.564,-18.295,-18.295,-18.295,-24.839,-24.839,-33.084,-33.084,-33.084,-83.216,-83.216,-538.637,-538.637,-538.637,-622.655,-622.655,-611.018,-611.018,-14.424,-14.424,-15.603,-15.603,-19.893,-19.893,-19.893,-27.789,-27.789,-37.886,-37.886,-37.886,-98.408,-98.408,-538.900,-538.900,-538.900,-577.949,-577.949,-565.151,-565.151,-15.679,-15.679,-17.030,-17.030,-21.934,-21.934,-21.934,-31.394,-31.394,-45.421,-45.421,-45.421,-116.406,-116.406,-527.055,-527.055,-527.055,-532.152,-532.152,-519.093,-519.093,-19.989,-19.989,-21.748,-21.748,-28.071,-28.071,-28.071,-41.533,-41.533,-81.566,-81.566,-81.566,-196.134,-196.134,-475.139,-475.139,-475.139,-442.769,-442.769,-430.697,-430.697,-23.940,-23.940,-25.857,-25.857,-32.066,-32.066,-32.066,-49.002,-49.002,-121.845,-121.845,-121.845,-252.830,-252.830,-436.618,-436.618,-436.618,-391.508,-391.508,-379.966,-379.966,-30.999,-30.999,-32.790,-32.790,-37.617,-37.617,-37.617,-59.780,-59.780,-156.305,-156.305,-156.305,-256.565,-256.565,-386.761,-386.761,-386.761,-343.922,-343.922,-333.352,-333.352,-42.112,-42.112,-43.206,-43.206,-46.783,-46.783,-46.783,-76.767,-76.767,-169.798,-169.798,-169.798,-241.506,-241.506,-340.018,-340.018,-340.018,-302.608,-302.608,-293.048,-293.048,-109.268,-109.268,-108.380,-108.380,-105.990,-105.990,-105.990,-143.350,-143.350,-170.159,-170.159,-170.159,-209.334,-209.334,-265.111,-265.111,-265.111,-241.010,-241.010,-232.767,-232.767,-237.731,-237.731,-219.885,-219.885,-205.745,-205.745,-205.745,-191.274,-191.274,-165.872,-165.872,-165.872,-196.343,-196.343,-239.466,-239.466,-239.466,-230.301,-230.301,-221.867,-221.867
